Parent Task,Child Tasks Count,Child Tasks,Task Depth,Categories
Federated Learning,5,Personalized Federated Learning; Vertical Federated Learning; Collaborative Fairness; Model Posioning; Contribution Assessment,1,Methodology; Adversarial
Video Retrieval,5,Video-Text Retrieval; Video Grounding; Video-Adverb Retrieval; Replay Grounding; Composed Video Retrieval (CoVR),2,Computer Vision
Unsupervised Anomaly Detection,5,Unsupervised Anomaly Detection with Specified Settings -- 30% anomaly; Root Cause Ranking; Unsupervised Contextual Anomaly Detection; Anomaly Detection at Various Anomaly Percentages; Anomaly Detection at 30% anomaly,1,Graphs; Miscellaneous; Computer Vision
Fact Checking,5,Misconceptions; Known Unknowns; Sentence Ambiguity; FEVER (2-way); FEVER (3-way),1,Miscellaneous
Image Editing,5,Rolling Shutter Correction; Shadow Removal; Multimodel-guided image editing; Multimodal fashion image editing; Joint Deblur and Frame Interpolation,2,Computer Vision
Cross-Modal Retrieval,5,Image-text matching; Cross-modal retrieval with noisy correspondence; multilingual cross-modal retrieval; Zero-shot Composed Person Retrieval; Cross-Modal Retrieval on RSITMD,1,Natural Language Processing; Computer Vision
Video-based Generative Performance Benchmarking,5,Video-based Generative Performance Benchmarking (Contextual Understanding); Video-based Generative Performance Benchmarking (Correctness of Information); Video-based Generative Performance Benchmarking (Detail Orientation)); Video-based Generative Performance Benchmarking (Temporal Understanding); Video-based Generative Performance Benchmarking (Consistency),1,Reasoning
Visual Question Answering,5,Spatial Reasoning; Object Hallucination; Explanatory Visual Question Answering; Vietnamese Visual Question Answering; MM-Vet v2,2,Natural Language Processing; Computer Vision
Reconstruction,4,3D Human Reconstruction; Single-View 3D Reconstruction; 4D reconstruction; Single-Image-Based Hdr Reconstruction,2,Computer Vision; Reasoning
Sketch,4,Sketch Recognition; Face Sketch Synthesis; Photo-To-Caricature Translation; Drawing Pictures,4,Computer Vision
Transfer Learning,4,Multi-Task Learning; Auxiliary Learning; Transfer Reinforcement Learning; Unsupervised Domain Expansion,2,Methodology; Miscellaneous
Ecommerce,4,Product Recommendation; Product Categorization; Online Ranker Evaluation; Online Review Rating,2,Miscellaneous
Malware Classification,4,Malware Detection; Android Malware Detection; Behavioral Malware Classification; Behavioral Malware Detection,1,Miscellaneous
Saliency Detection,4,Saliency Prediction; Co-Salient Object Detection; Video Saliency Detection; Unsupervised Saliency Detection,3,Computer Vision
Outlier Detection,4,One-class classifier; outlier ensembles; Graph Outlier Detection; Outlier Interpretation,1,Methodology; Graphs
Stance Detection,4,Zero-Shot Stance Detection; Few-Shot Stance Detection; Stance Detection (US Election 2020 - Biden); Stance Detection (US Election 2020 - Trump),1,Natural Language Processing
Adversarial Attack,4,Backdoor Attack; Adversarial Text; Adversarial Attack Detection; Real-World Adversarial Attack,1,Adversarial; Computer Vision
Action Localization,4,Temporal Action Localization; Action Segmentation; Spatio-Temporal Action Localization; Unusual Activity Localization,5,Computer Vision
Audio Classification,4,Environmental Sound Classification; Audio Multiple Target Classification; Semi-supervised Audio Classification; Parkinson Detection from Speech,2,Audio
Visual Tracking,4,Point Tracking; Rgb-T Tracking; Real-Time Visual Tracking; RF-based Visual Tracking,1,Computer Vision
Image Retrieval with Multi-Modal Query,4,Cross-Modal Retrieval; Zero-Shot Cross-Modal Retrieval; Cross-Modal Information Retrieval; Multi-Modal Person Identification,2,Miscellaneous
Cross-Lingual,4,Cross-Lingual Transfer; Cross-Lingual Document Classification; Cross-Lingual Entity Linking; Cross-Language Text Summarization,2,Natural Language Processing
Image Clustering,4,Online Clustering; Face Clustering; Multi-view Subspace Clustering; Multi-modal Subspace Clustering,1,Computer Vision
Multi-Label Classification,4,Missing Labels; Extreme Multi-Label Classification; Hierarchical Multi-label Classification; Medical Code Prediction,1,Methodology; Medical; Computer Vision; Reasoning
Image Compression,4,Feature Compression; Jpeg Compression Artifact Reduction; Lossy-Compression Artifact Reduction; Color Image Compression Artifact Reduction,1,Computer Vision
Object Counting,4,Exemplar-Free Counting; Few-shot Object Counting and Detection; Open-vocabulary object counting; Training-free Object Counting,1,Computer Vision
Hyperspectral,4,Hyperspectral Image Classification; Hyperspectral Unmixing; Hyperspectral Image Segmentation; Classification Of Hyperspectral Images,2,Computer Vision
Sentence Embeddings,4,Sentence Embedding; Sentence Compression; Joint Multilingual Sentence Representations; Sentence Embeddings For Biomedical Texts,2,Natural Language Processing
Word Embeddings,4,Learning Word Embeddings; Multilingual Word Embeddings; Embeddings Evaluation; Contextualised Word Representations,1,Methodology; Natural Language Processing
Photoplethysmography (PPG),4,Heart rate estimation; Blood pressure estimation; Photoplethysmography (PPG) heart rate estimation; Photoplethysmography (PPG) beat detection,3,Medical
Audio Generation,4,Voice Cloning; Room Impulse Response (RIR); Audio Super-Resolution; Video-to-Sound Generation,1,Audio; Speech; Music
Image Matching,4,Semantic correspondence; Patch Matching; set matching; Matching Disparate Images,2,Computer Vision
Spoof Detection,4,Face Presentation Attack Detection; Detecting Image Manipulation; Cross-Domain Iris Presentation Attack Detection; Finger Dorsal Image Spoof Detection,1,Computer Vision
Card Games,4,Game of Poker; Game of Hanabi; Solitaire; Klondike,1,Playing Games
Speech Enhancement,4,Speech Dereverberation; Bandwidth Extension; Packet Loss Concealment; Speech Intelligibility Evaluation,1,Audio; Speech
Molecular Property Prediction,4,3D Geometry Prediction; NMR J-coupling; Odor Descriptor Prediction; mixture property prediction,1,Methodology; Medical; Graphs; Miscellaneous
Knowledge Graph Completion,4,Large Language Model; Triple Classification; Inductive knowledge graph completion; Inductive Relation Prediction,3,Knowledge Base; Graphs; Natural Language Processing
3D Object Reconstruction,4,3D Object Reconstruction From A Single Image; CAD Reconstruction; Simulated Gaussian Manipulation; Feature Splatting,1,Computer Vision
3D Point Cloud Classification,4,3D Object Classification; Few-Shot 3D Point Cloud Classification; Supervised Only 3D Point Cloud Classification; Zero-Shot Transfer 3D Point Cloud Classification,2,Computer Vision
3D Absolute Human Pose Estimation,4,Image to 3D; 3D Face Animation; 3D Human Shape Estimation; Text-to-Face Generation,3,Knowledge Base; Robots; Computer Vision
Action Segmentation,4,Unsupervised Action Segmentation; Skeleton Based Action Segmentation; Weakly Supervised Action Segmentation (Transcript); Weakly Supervised Action Segmentation (Action Set)),1,Computer Vision
Sleep Staging,4,EEG based sleep staging; ECG based Sleep Staging; W-R-L-D Sleep Staging; W-R-N Sleep Staging,1,Time Series
Referring Image Matting,4,Referring Image Matting (Expression-based); Referring Image Matting (Keyword-based); Referring Image Matting (RefMatte-RW100); Referring Image Matting (Prompt-based),1,Computer Vision
Ethics,4,Moral Scenarios; Moral Permissibility; Business Ethics; Moral Disputes,1,Miscellaneous
Speech Emotion Recognition,4,Vocal Bursts Intensity Prediction; Vocal Bursts Valence Prediction; Vocal Bursts Type Prediction; Cultural Vocal Bursts Intensity Prediction,1,Speech
Brain Computer Interface,4,Motor Imagery; ERP; channel selection; SSVEP,3,Medical; Time Series
Trajectory Prediction,3,Trajectory Forecasting; Human motion prediction; Out-of-Sight Trajectory Prediction,2,Time Series; Computer Vision
Stock Market Prediction,3,Stock Price Prediction; Stock Prediction; Stock Trend Prediction,2,Time Series
Data Integration,3,Entity Alignment; Entity Resolution; Table annotation,2,Knowledge Base; Natural Language Processing
Relation Classification,3,Few-Shot Relation Classification; Implicit Discourse Relation Classification; Cause-Effect Relation Classification,1,Natural Language Processing
Text-To-Image,3,Story Visualization; VGSI; Complex Scene Breaking and Synthesis,1,Computer Vision
Crowds,3,Crowd Counting; Visual Crowd Analysis; Group Detection In Crowds,1,Computer Vision
Natural Language Inference,3,Answer Generation; Visual Entailment; Cross-Lingual Natural Language Inference,1,Natural Language Processing; Reasoning
Speaker Verification,3,Audio Deepfake Detection; Text-Independent Speaker Verification; Text-Dependent Speaker Verification,1,Speech
Drug Discovery,3,Drug Response Prediction; Text-based de novo Molecule Generation; Therapeutics Data Commons,2,Medical
Mammogram,3,Whole Mammogram Classification; Mass Segmentation From Mammograms; Breast Mass Segmentation In Whole Mammograms,1,Medical
Skin,3,Skin Lesion Segmentation; Skin Lesion Classification; Skin Lesion Identification,1,Medical
Semantic Role Labeling,3,Predicate Detection; Semantic Role Labeling (predicted predicates); Textual Analogy Parsing,1,Natural Language Processing
Hate Speech Detection,3,Hope Speech Detection; Hate Speech Normalization; Hate Speech Detection CrisisHateMM Benchmark,2,Natural Language Processing
Continuous Control,3,Car Racing; Steering Control; Drone Controller,1,Robots; Playing Games; Computer Vision
Text Clustering,3,Short Text Clustering; Open Intent Discovery; Hierarchical Text Clustering,1,Natural Language Processing
Music Generation,3,Music Performance Rendering; Multimodal Music Generation; Music Texture Transfer,1,Audio; Music
Community Detection,3,Local Community Detection; Network Community Partition; Online Community Detection,1,Graphs
Gesture Recognition,3,Hand Gesture Recognition; Hand-Gesture Recognition; RF-based Gesture Recognition,1,Computer Vision
Human Interaction Recognition,3,One-Shot 3D Action Recognition; Dense contact estimation; Mutual Gaze,1,Computer Vision
Visual Place Recognition,3,geo-localization; Indoor Localization; 3D Place Recognition,2,Computer Vision
Image Inpainting,3,Cloud Removal; Facial Inpainting; Fine-Grained Image Inpainting,1,Computer Vision
Tomography,3,Electron Tomography; Quantum State Tomography; Tomographic Reconstructions,1,Medical
Colorization,3,Line Art Colorization; Point-interactive Image Colorization; Color Mismatch Correction,1,Computer Vision
Game of Football,3,Pass Classification; Injury Prediction; Football Action Valuation,1,Playing Games
Abstractive Text Summarization,3,Timeline Summarization; Multimodal Abstractive Text Summarization; Reader-Aware Summarization,1,Natural Language Processing
Facial Landmark Detection,3,Unsupervised Facial Landmark Detection; 3D Facial Landmark Localization; Speech to Facial Landmark,1,Computer Vision
Causal Inference,3,Counterfactual Inference; Heterogeneous Treatment Effect Estimation; IHDP-CATE,1,Knowledge Base; Miscellaneous
Data-to-Text Generation,3,Visual Storytelling; KG-to-Text Generation; Unsupervised KG-to-Text Generation,2,Natural Language Processing
Image Recognition,3,Fine-Grained Image Recognition; License Plate Recognition; Material Recognition,1,Computer Vision
AutoML,3,Neural Architecture Search; Hyperparameter Optimization; Automated Feature Engineering,2,Methodology
Autonomous Navigation,3,Sequential Place Recognition; Autonomous Web Navigation; Autonomous Flight (Dense Forest),1,Computer Vision; Robots; Reasoning
Board Games,3,Game of Go; Game of Chess; Game of Shogi,1,Playing Games
Event-based vision,3,Event-based Optical Flow; Event-based Motion Estimation; Event-Based Video Reconstruction,1,Computer Vision
3D Multi-Person Pose Estimation,3,3D Multi-Person Pose Estimation (absolute); 3D Multi-Person Mesh Recovery; 3D Multi-Person Pose Estimation (root-relative),1,Computer Vision
Graph Classification,3,Isomorphism Testing; Space group classification; Crystal system classification,1,Graphs
Object Recognition,3,3D Object Recognition; Continuous Object Recognition; Depiction Invariant Object Recognition,1,Computer Vision
Meta-Learning,3,Few-Shot Learning; Sample Probing; universal meta-learning,3,Methodology; Computer Vision
RGB Salient Object Detection,3,Dichotomous Image Segmentation; Co-Salient Object Detection; Video Salient Object Detection,1,Computer Vision
Physical Simulations,3,Neural Network simulation; Optical Tweezers Simulations; Liquid Simulation,1,Computer Code; Miscellaneous
Activity Prediction,3,motion prediction; Cyber Attack Detection; Sequential skip prediction,2,Methodology; Time Series; Computer Vision
Document Text Classification,3,Learning with noisy labels; Multi-Label Classification Of Biomedical Texts; Political Salient Issue Orientation Detection,1,Medical; Natural Language Processing; Computer Vision
Few-Shot Image Classification,3,Unsupervised Few-Shot Image Classification; Unsupervised Few-Shot Learning; Generalized Few-Shot Classification,3,Computer Vision
Text Style Transfer,3,Formality Style Transfer; Word Attribute Transfer; Semi-Supervised Formality Style Transfer,1,Natural Language Processing
Motion Synthesis,3,motion in-betweening; Motion Style Transfer; Temporal Human Motion Composition,1,Computer Code; Computer Vision
Deep Clustering,3,Trajectory Clustering; NONPARAMETRIC DEEP CLUSTERING; Deep Nonparametric Clustering,1,Methodology; Natural Language Processing; Miscellaneous
3D Hand Pose Estimation,3,Grasp Generation; hand-object pose; 3D Canonical Hand Pose Estimation,2,Computer Vision
Object Segmentation,3,Camouflaged Object Segmentation; Landslide segmentation; Text-Line Extraction,2,Computer Vision
Event Extraction,3,NER; Event Causality Identification; Zero-shot Event Extraction,1,Natural Language Processing
Discourse Parsing,3,Discourse Segmentation; End-to-End RST Parsing; Connective Detection,1,Natural Language Processing
Explainable artificial intelligence,3,Explainable Models; Explanation Fidelity Evaluation; FAD Curve Analysis,1,Methodology; Computer Vision
Temporal Processing,3,Temporal Information Extraction; Timex normalization; Document Dating,2,Natural Language Processing
Audio Source Separation,3,Target Sound Extraction; Directional Hearing; Single-Label Target Sound Extraction,2,Audio
Pronunciation Assessment,3,Phone-level pronunciation scoring; Word-level pronunciation scoring; Utterance-level pronounciation scoring,1,Speech
Hope Speech Detection,3,Hope Speech Detection for English; Hope Speech Detection for Tamil; Hope Speech Detection for Malayalam,1,Natural Language Processing
Video Segmentation,3,Camera shot boundary detection; Open-Vocabulary Video Segmentation; Open-World Video Segmentation,1,Computer Vision
Video Frame Interpolation,3,eXtreme-Video-Frame-Interpolation; Unsupervised Video Frame Interpolation; 3D Video Frame Interpolation,2,Computer Vision
Retrieval,3,Text Retrieval; Deep Hashing; Table Retrieval,1,Methodology; Natural Language Processing; Computer Vision
Visual Grounding,3,3D visual grounding; Person-centric Visual Grounding; Phrase Extraction and Grounding (PEG),1,Computer Vision
Stock Prediction,3,Text-Based Stock Prediction; PAIR TRADING; Event-Driven Trading,1,Natural Language Processing; Time Series
Audio Signal Processing,3,blind source separation; Audio Compression; Audio Effects Modeling,2,Audio
Emotional Intelligence,3,SNARKS; Ruin Names; Dark Humor Detection,1,Natural Language Processing
Robot Manipulation,3,Robot Manipulation Generalization; Deformable Object Manipulation; Contact-rich Manipulation,1,Robots
Text2text Generation,3,Keyphrase Generation; Sketch-to-text Generation; Figurative Language Visualization,1,Natural Language Processing
Class Incremental Learning,3,Few-Shot Class-Incremental Learning; Class-Incremental Semantic Segmentation; Non-exemplar-based Class Incremental Learning,2,Methodology; Computer Vision
Domain Generalization,3,Single-Source Domain Generalization; Source-free Domain Generalization; Evolving Domain Generalization,2,Computer Vision
Conditional Image Generation,3,Human-Object Interaction Generation; Image-Guided Composition; Noisy Semantic Image Synthesis,1,Computer Vision
Large Language Model,3,Knowledge Graphs; RAG; AI Agent,4,Methodology; Knowledge Base; Natural Language Processing
Atomistic Description,3,Molecular Property Prediction; Formation Energy; Atomic Forces,2,Medical; Graphs; Miscellaneous
Point Clouds,3,Cross-modal place recognition; point cloud video understanding; Point Cloud Rrepresentation Learning,1,Computer Vision
Within-Session Motor Imagery,3,Within-Session Motor Imagery (all classes); Within-Session Motor Imagery (left hand vs. right hand); Within-Session Motor Imagery (right hand vs. feet),1,Medical
Deblurring,2,Blind Image Deblurring; Single-Image Blind Deblurring,2,Computer Vision
Text-To-Speech Synthesis,2,Prosody Prediction; Zero-Shot Multi-Speaker TTS,1,Audio; Speech; Natural Language Processing
Stochastic Optimization,2,Evolutionary Algorithms; Distributed Optimization,1,Methodology; Miscellaneous
Keyword Spotting,2,Small-Footprint Keyword Spotting; Visual Keyword Spotting,1,Speech; Computer Vision
Dehazing,2,Image Dehazing; Single Image Dehazing,1,Computer Vision
Disease Prediction,2,Retinal OCT Disease Classification; Disease Trajectory Forecasting,1,Medical; Computer Vision
Summarization,2,Unsupervised Extractive Summarization; Query-focused Summarization,1,Natural Language Processing
Video Question Answering,2,Zero-Shot Video Question Answer; Few-shot Video Question Answering,1,Reasoning; Computer Vision
Time Series Classification,2,Semi-supervised time series classification; Classification on Time Series with Missing Data,1,Time Series
Visual Odometry,2,Face Anti-Spoofing; Monocular Visual Odometry,1,Robots; Computer Vision
Spoken Language Understanding,2,Spoken language identification; Speech Tokenization,1,Speech
Patient Outcomes,2,Predicting Patient Outcomes; Outcome Prediction In Multimodal Mri,1,Medical
Atrial Fibrillation,2,Atrial Fibrillation Detection; Atrial Fibrillation Recurrence Estimation,1,Medical
Adversarial Defense,2,Adversarial Purification; Provable Adversarial Defense,1,Adversarial
Temporal Localization,2,Language-Based Temporal Localization; Temporal Defect Localization,2,Computer Vision
Semantic Textual Similarity,2,Paraphrase Identification; Cross-Lingual Semantic Textual Similarity,1,Natural Language Processing
Music Classification,2,Singer Identification; Vocal technique classification,1,Music
Language Identification,2,Dialect Identification; Native Language Identification,1,Audio; Natural Language Processing
Visual Relationship Detection,2,Video Visual Relation Detection; Human-Object Relationship Detection,1,Computer Vision
Slot Filling,2,Zero-shot Slot Filling; Extracting COVID-19 Events from Twitter,1,Natural Language Processing
Camera Localization,2,Camera Relocalization; Cross-View Geo-Localisation,2,Computer Vision
Scene Text Detection,2,Curved Text Detection; Multi-Oriented Scene Text Detection,2,Computer Vision
Image Registration,2,distortion correction; Unsupervised Image Registration,1,Computer Vision
Bird Classification,2,Bird Audio Detection; Bird Species Classification With Audio-Visual Data,1,Audio
Human-Object Interaction Detection,2,Affordance Recognition; Hand-Object Interaction Detection,1,Computer Vision
2D Pose Estimation,2,Category-Agnostic Pose Estimation; Overlapping Pose Estimation,1,Computer Vision
Coreference Resolution,2,coreference-resolution; Cross Document Coreference Resolution,1,Natural Language Processing
Data Augmentation,2,Image Augmentation; Text Augmentation,1,Methodology; Natural Language Processing; Computer Vision
Gait Recognition,2,Multiview Gait Recognition; Gait Recognition in the Wild,1,Computer Vision
Clustering,2,Constrained Clustering; Categorical data clustering,2,Methodology
Saliency Prediction,2,Few-Shot Transfer Learning for Saliency Prediction; Aerial Video Saliency Prediction,2,Computer Vision
Video Summarization,2,Unsupervised Video Summarization; Supervised Video Summarization,1,Computer Vision
Dimensionality Reduction,2,Supervised dimensionality reduction; Online nonnegative CP decomposition,1,Methodology; Computer Vision
Animation,2,Image Animation; 3D Character Animation From A Single Photo,2,Computer Vision
Topic Models,2,Topic coverage; Dynamic Topic Modeling,1,Natural Language Processing
Continual Semantic Segmentation,2,Overlapped 5-3; Overlapped 25-25,1,Computer Vision
Motion Forecasting,2,Multi-Person Pose forecasting; Multiple Object Forecasting,1,Computer Vision
Medical Image Registration,2,Diffeomorphic Medical Image Registration; BIRL,1,Medical
Video Prediction,2,Earth Surface Forecasting; Predict Future Video Frames,1,Time Series; Computer Vision
Interpretable Machine Learning,2,Data Mining; Abstention Prediction,3,Methodology
Real-Time Strategy Games,2,Starcraft; Starcraft II,1,Playing Games
Fake Image Detection,2,GAN image forensics; Fake Image Attribution,1,Computer Vision
Anaphora Resolution,2,Bridging Anaphora Resolution; Abstract Anaphora Resolution,1,Natural Language Processing
Quantization,2,Data Free Quantization; UNET Quantization,1,Methodology; Computer Vision
Privacy Preserving Deep Learning,2,Membership Inference Attack; Homomorphic Encryption for Deep Learning,1,Methodology; Miscellaneous; Computer Vision
Seismic Interpretation,2,Facies Classification; Seismic Detection,1,Miscellaneous
Non-Linear Elasticity,2,Cantilever Beam; Stress-Strain Relation,1,Miscellaneous
3D Object Classification,2,Generative 3D Object Classification; Cube Engraving Classification,1,Computer Vision
3D Face Modelling,2,Continuous Control; Facial Recognition and Modelling,4,Medical; Playing Games; Computer Vision
Novel View Synthesis,2,Novel LiDAR View Synthesis; Gournd video synthesis from satellite image,1,Computer Vision
Multimodal Machine Translation,2,Face to Face Translation; Multimodal Lexical Translation,1,Natural Language Processing; Computer Vision
Content-Based Image Retrieval,2,Drone navigation; Drone-view target localization,1,Computer Vision
Synthetic Data Generation,2,Synthetic Data Evaluation; Synthetic Outliers Evaluation,1,Medical; Miscellaneous; Time Series
Remote Sensing Image Classification,2,Webcam (RGB) image classification; Sentinel-1 SAR processing,1,Computer Code
Self-Supervised Learning,2,Point Cloud Pre-training; Unsupervised Video Clustering,1,Computer Vision
Dialogue Understanding,2,Spoken Language Understanding; Dialogue Safety Prediction,2,Natural Language Processing
General Reinforcement Learning,2,Offline RL; Model-based Reinforcement Learning,2,Methodology; Robots; Playing Games; Reasoning
Cross-Lingual Transfer,2,Zero-Shot Cross-Lingual Transfer; Cross-Lingual NER,1,Natural Language Processing
Point Cloud Classification,2,Jet Tagging; Few-Shot Point Cloud Classification,1,Graphs; Computer Vision
Referring Expression Segmentation,2,Generalized Referring Expression Segmentation; Weakly Supervised Referring Expression Segmentation,1,Computer Vision
6D Pose Estimation,2,hand-object pose; Robot Pose Estimation,1,Computer Vision
Video Generation,2,Image to Video Generation; Unconditional Video Generation,2,Natural Language Processing; Computer Vision
Propaganda detection,2,Propaganda span identification; Propaganda technique identification,1,Natural Language Processing
Graph Learning,2,Graph Sampling; Task Graph Learning,1,Graphs
Talking Face Generation,2,Constrained Lip-synchronization; Face  Dubbing,1,Computer Vision
Distributed Computing,2,Collaborative Inference; Distributed Voting,1,
Protein Structure Prediction,2,Protein Interface Prediction; Protein complex prediction,1,Medical; Miscellaneous
Natural Language Understanding,2,Vietnamese Social Media Text Processing; Emotional Dialogue Acts,1,Natural Language Processing
Edge-computing,2,Tiling & Deployment; Device-Cloud Collaboration,1,Computer Code; Time Series
Taxonomy Learning,2,Taxonomy Expansion; Hypernym Discovery,1,Natural Language Processing
Breast Cancer Histology Image Classification,2,Breast Cancer Detection; Breast Cancer Histology Image Classification (20% labels),1,Knowledge Base; Computer Vision
Multi-Task Learning,2,Multi-task Language Understanding; Task Arithmetic,1,Methodology
Salient Object Detection,2,Saliency Ranking; RGB-T Salient Object Detection,1,Computer Vision
Audio captioning,2,Retrieval-augmented Few-shot In-context Audio Captioning; Zero-shot Audio Captioning,1,Audio
Token Classification,2,Toxic Spans Detection; Blackout Poetry Generation,1,Natural Language Processing
Biomedical Information Retrieval,2,PICO; SpO2 estimation,1,Medical; Natural Language Processing
De-identification,2,Privacy Preserving Deep Learning; Full-body anonymization,2,Natural Language Processing; Computer Vision
Image Denoising,2,lifetime image denoising; intensity image denoising,1,Medical; Computer Vision
road scene understanding,2,Monocular Cross-View Road Scene Parsing(Road); Monocular Cross-View Road Scene Parsing(Vehicle),1,Computer Vision
3D Classification,2,3D Object Classification; MRI classification,2,Medical; Computer Vision
Knowledge Distillation,2,Data-free Knowledge Distillation; Self-Knowledge Distillation,2,Natural Language Processing; Computer Vision
Multiple Object Tracking,2,Multiple Object Tracking with Transformer; Multiple Object Track and Segmentation,1,Computer Vision
Simultaneous Localization and Mapping,2,Semantic SLAM; Object SLAM,1,Computer Vision
MRI Reconstruction,2,Quantitative MRI; Magnetic Resonance Fingerprinting,2,Medical
Semi-supervised Anomaly Detection,2,Physical Video Anomaly Detection; General Action Video Anomaly Detection,1,Computer Vision
Term Extraction,2,Nested Term Extraction; Nested Term Recognition,2,Natural Language Processing
Scene Graph Generation,2,Unbiased Scene Graph Generation; Panoptic Scene Graph Generation,1,Computer Vision
Conditional Text Generation,2,Multimedia Generative Script Learning; Contextualized Literature-based Discovery,1,Natural Language Processing
Audio Effects Modeling,2,Pitch control; Timbre Interpolation,1,Audio
Aspect Extraction,2,Hidden Aspect Detection; Latent Aspect Detection,1,Natural Language Processing
Spam detection,2,Traditional Spam Detection; Context-specific Spam Detection,1,Natural Language Processing
Blood pressure estimation,2,ECG Classification; Hypertension detection,3,Medical
Grasp Generation,2,Grasp rectangle generation; Controllable Grasp Generation,1,Robots; Computer Vision
Medical waveform analysis,2,Electrocardiography (ECG); Electromyography (EMG),5,Methodology; Medical
SMAC,2,SMAC+; SMAC Plus,1,Playing Games
Image Fusion,2,Pansharpening; Multi Focus Image Fusion,1,Computer Vision
Semi-Supervised Image Classification,2,Open-World Semi-Supervised Learning; Semi-Supervised Image Classification (Cold Start),1,Computer Vision
Video Grounding,2,Video Narrative Grounding; Boundary Grounding,1,Computer Vision
Multimodal Text and Image Classification,2,image-sentence alignment; Open-World Social Event Classification,1,Natural Language Processing
Intelligent Communication,2,Semantic Communication; Beam Prediction,1,Miscellaneous; Time Series
Semantic Similarity,2,Semantic Shift Detection; Similarity Explanation,1,Methodology; Natural Language Processing
3D Anomaly Detection,2,Video Anomaly Detection; Artifact Detection,2,Computer Vision
Handwritten Text Recognition,2,Handwritten Document Recognition; Unsupervised Text Recognition,1,Adversarial; Computer Vision
Pcl Detection,2,SemEval-2022 Task 4-1 (Binary PCL Detection); SemEval-2022 Task 4-2 (Multi-label PCL Detection),1,Music; Natural Language Processing; Miscellaneous
Surgical phase recognition,2,Online surgical phase recognition; Offline surgical phase recognition,1,Computer Vision
Text-to-Video Generation,2,Text-to-Video Editing; Subject-driven Video Generation,2,Natural Language Processing; Computer Vision
Handwriting Recognition,2,Handwritten Line Segmentation; Handwritten Word Segmentation,1,Computer Vision
Transcription Factor Binding Site Prediction,2,Transcription Factor Binding Site Prediction (Human); Transcription Factor Binding Site Prediction (Mouse),1,Medical
Node Property Prediction,2,Position regression; Research Performance Prediction,1,Graphs
Facial Expression Recognition,2,Cross-Domain Facial Expression Recognition; Zero-Shot Facial Expression Recognition,1,Computer Vision
Constrained Clustering,2,Only Connect Walls Dataset Task 1 (Grouping); Incremental Constrained Clustering,1,Methodology; Natural Language Processing
Hearing Aid and device processing,2,Cadenza 1 - Task 1 - Headphone; Cadenza 1 - Task 2 - In Car,1,Audio
Diffusion Personalization,2,Diffusion Personalization Tuning Free; Efficient Diffusion Personalization,1,Computer Vision
regression,2,quantile regression; Travel Time Estimation,1,Methodology; Miscellaneous; Time Series; Computer Vision
Panoptic Segmentation,2,Video Panoptic Segmentation; Uncertainty-Aware Panoptic Segmentation,1,Computer Vision
Computer Vision Techniques Adopted in 3D Cryogenic Electron Microscopy,2,Single Particle Analysis; Cryogenic Electron Tomography,2,Computer Vision
Video Classification,2,Student Engagement Level Detection (Four Class Video Classification); Multi Class Classification (Four-level Video Classification),1,Computer Vision
No-Reference Image Quality Assessment,2,NR-IQA; Blind Image Quality Assessment,1,Computer Vision
AI Agent,2,Agent-based model inverse problem; N-Queens Problem - All Possible Solutions,1,Methodology; Robots
"1 Image, 2*2 Stitching",2,Image-to-Image Translation; Fake Image Detection,3,Miscellaneous; Computer Vision
Source-Free Domain Adaptation,2,Source Free Object Detection; 3D Source-Free Domain Adaptation,1,Computer Vision
Subject-driven Video Generation,2,Human Animation; Audio-Driven Body Animation,1,Computer Vision
LMM real-life tasks,2,Short Question Answers; Long Question Answer,1,Computer Vision
How To Refund A Wrong Transaction In Phonepe ,2,Community Question Answering; How to refund a wrong transaction in PhonePe,1,Methodology; Knowledge Base
Navigate,2,Go to AnyThing; Universal Navigation,1,Robots
Indoor Localization,2,"Indoor Localization (3-DoF Pose: X, Y, Yaw); Indoor Localization (6-DoF Pose)",1,Computer Vision
Part-Of-Speech Tagging,1,Unsupervised Part-Of-Speech Tagging,1,Natural Language Processing
Instance Search,1,Audio Fingerprint,1,Audio; Computer Vision
Imputation,1,Multivariate Time Series Imputation,1,Time Series; Computer Vision
Rain Removal,1,Single Image Deraining,1,Computer Vision
Forgery,1,Localization In Video Forgery,1,Computer Vision
Deception Detection,1,Deception Detection In Videos,1,Miscellaneous; Computer Vision
Color Constancy,1,Few-Shot Camera-Adaptive Color Constancy,1,Computer Vision
Length-of-Stay prediction,1,Remaining Length of Stay,1,Medical
Decision Making,1,Imitation Learning,2,Methodology; Reasoning
Visual Reasoning,1,Visual Commonsense Reasoning,1,Reasoning; Computer Vision
Pulmorary Vessel Segmentation,1,Pulmonary Artery–Vein Classification,1,Computer Vision
Speech Separation,1,Speech Extraction,1,Speech
Word Sense Disambiguation,1,Word Sense Induction,1,Natural Language Processing
Speaker Separation,1,Multi-Speaker Source Separation,1,Speech
Advertising,1,Detecting Adverts,1,Miscellaneous
Matrix Completion,1,Low-Rank Matrix Completion,1,Methodology
Abuse Detection,1,Hate Speech Detection,3,Natural Language Processing
Intrusion Detection,1,Network Intrusion Detection,1,Natural Language Processing; Miscellaneous
Negation Detection,1,Negation Scope Resolution,1,Natural Language Processing
